Code AGB,Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,DQR,Nom et code,Agriculture,Transformation,Emballage,Transport,Supermarché et distribution,Consommation
20990,20990,aides culinaires et ingrédients divers,algues,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée","Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated",2.99,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée (20990)",0.65481156,0.50098699,0.024443288,0.046249903,0.0049809591,0.00040673206999999997
20986,20986,aides culinaires et ingrédients divers,algues,"Kombu royal (Saccharina latissima), séchée ou déshydratée","Sea belt (Saccharina latissima), dried or dehydrated",2.99,"Kombu royal (Saccharina latissima), séchée ou déshydratée (20986)",0.65481156,0.50098699,0.024443288,0.046249903,0.0049809591,0.00040673206999999997
20985,20985,aides culinaires et ingrédients divers,algues,"Laitue de mer (Ulva sp.), séchée ou déshydratée","Sea lettuce (ulva sp.), dried or dehydrated)",2.99,"Laitue de mer (Ulva sp.), séchée ou déshydratée (20985)",0.65481156,0.50098699,0.024443288,0.019621411000000002,0.0049809591,0.00040673206999999997
11053,11053,aides culinaires et ingrédients divers,épices,"Laurier, feuille","Bay, leaves",4.31,"Laurier, feuille (11053)",0.066346121,0,0.050708750999999996,0.01402702,0.0045028964,0
42200,42200,aides culinaires et ingrédients divers,ingrédients divers,Lécithine de soja,Soy lecithin,3.47,Lécithine de soja (42200),0.39592026,0.015792893,0.010071286,0.070933532,0.0045364634,0
11009,11009,aides culinaires et ingrédients divers,ingrédients divers,Levure alimentaire,Nutritional yeast,2.46,Levure alimentaire (11009),0,0.40621506,0.0010796032999999998,0.0079246622,0.0045364634,0
11046,11046,aides culinaires et ingrédients divers,ingrédients divers,Levure chimique ou Poudre à lever,Baking powder or raising agent,2.85,Levure chimique ou Poudre à lever (11046),0,0.40621506,0.0010796032999999998,0.0079246622,0.0045364634,0
11010,11010,aides culinaires et ingrédients divers,ingrédients divers,"Levure de boulanger, compressée","Baker's yeast, compressed",2.46,"Levure de boulanger, compressée (11010)",0,0.40621506,0.010071286,0.0086536499,0.0045364634,0
11045,11045,aides culinaires et ingrédients divers,ingrédients divers,"Levure de boulanger, déshydratée","Baker's yeast, dehydrated",2.46,"Levure de boulanger, déshydratée (11045)",0,0.40621506,0.0010796032999999998,0.0079246622,0.0045364634,0
20996,20996,aides culinaires et ingrédients divers,algues,"Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté","Carragheen mosses (Chondrus crispus), dried or dehydrated",2.99,"Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté (20996)",0.65481156,0.50098699,0.024443288,0.019621411000000002,0.0049809591,0.00040673206999999997
11034,11034,aides culinaires et ingrédients divers,herbes,"Marjolaine, séchée","Marjoram, dried",3.75,"Marjolaine, séchée (11034)",0.32907675999999997,0,0.050708750999999996,0.014027202,0.0045028964,0
11054,11054,aides culinaires et ingrédients divers,sauces,Mayonnaise (70% MG min.),Mayonnaise (70% fat and more),2.49,Mayonnaise (70% MG min.) (11054),0.35857723,0.067150953,0.026299866999999998,0.031299539,0.0092699714,0.0024548656000000003
11079,11079,aides culinaires et ingrédients divers,sauces,Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée,"Mayonnaise, reduced fat or light mayonnaise",2.92,Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée (11079),0.35857723,0.067150953,0.026299866999999998,0.031299539,0.0092699714,0.0024548656000000003
51500,51500,aides culinaires et ingrédients divers,herbes,"Meloukhia, feuilles de corète séchées, en poudre",Molokhia powder (dried jute leaves),3.75,"Meloukhia, feuilles de corète séchées, en poudre (51500)",0.1900841,0,0.050708750999999996,0.014027202,0.0045028964,0
11027,11027,aides culinaires et ingrédients divers,herbes,"Menthe, fraîche","Mint, fresh",3.18,"Menthe, fraîche (11027)",0.07298073299999999,0,0.024320921,0.011451974,0.004953186,0.0013151004000000002
20916,20916,aides culinaires et ingrédients divers,ingrédients divers,Miso,Miso,2.52,Miso (20916),0.20104226,0.031837822,0.010959245999999999,0.014998406,0.004831530299999999,0
11013,11013,aides culinaires et ingrédients divers,condiments,Moutarde,Mustard,2.47,Moutarde (11013),0.18251804,0.042405794,0.06627156099999999,0.018054723,0.004831530299999999,0
11021,11021,aides culinaires et ingrédients divers,condiments,Moutarde à l'ancienne,"Mustard, with grains",2.21,Moutarde à l'ancienne (11021),0.15563801,0.052008815,0.076029731,0.019176565,0.004831530299999999,0
11048,11048,aides culinaires et ingrédients divers,épices,Noix de muscade,Nutmeg,3.75,Noix de muscade (11048),0.052831243,0,0.050708750999999996,0.03636582,0.0045028964,0
20987,20987,aides culinaires et ingrédients divers,algues,"Nori (Porphyra sp.), séchée ou déshydratée","Laver (Porphyra sp.), dried or dehydrated",2.99,"Nori (Porphyra sp.), séchée ou déshydratée (20987)",0.65481156,0.50098699,0.024443288,0.046249903,0.0049809591,0.00040673206999999997
